,Embedding,Method,Time,Dimension,Window,Word count,Sampling,Cross-sentence,Epochs,Dataset,Out of vocabulary,Low bin lower bound,Low bin upper bound,Mid bin lower bound,Mid bin upper bound,High bin lower bound,High bin upper bound,Low bin score,Low bin pair count,Middle bin score,Middle bin pair count,High bin score,High bin pair count,Mixed bin score,Mixed bin pair count,General score
70,w2v,CBOW,2020-05-06 03:32:49.185438,300,5,5000000,hs,No,100,MEN,28,1,29,29,137,138,6911,0.20717618460287904,386,0.4072565038899345,311,0.5240162908549642,356,0.3738116236088708,1947,0.37732458724852574
71,w2v,CBOW,2020-05-06 03:32:50.389803,300,5,5000000,hs,No,100,MTurk,76,1,47,47,172,177,3152,0.13526073046722129,18,0.08106773111048646,23,0.4381931930190783,31,0.35284151506019784,215,0.3438826582599089
72,w2v,CBOW,2020-05-06 03:32:51.608778,300,5,5000000,hs,No,100,RG65,1,1,10,11,92,93,747,-0.3,5,0.30952380952380953,8,0.14285714285714288,7,0.41422594704269444,45,0.3439186987243409
73,w2v,CBOW,2020-05-06 03:32:52.935664,300,5,5000000,hs,No,100,RW,852,1,7,7,64,64,4471,0.22093929602022774,99,0.1698706997524491,121,0.4160414356448892,92,0.1168288374850217,1722,0.13889150756348212
74,w2v,CBOW,2020-05-06 03:32:54.186388,300,5,5000000,hs,No,100,SimLex-999,6,1,41,41,162,164,3980,-0.07101153841976092,102,0.22279819952652719,101,0.11828352417488927,179,0.22125371149009496,617,0.15334470169087197
75,w2v,CBOW,2020-05-06 03:32:55.828610,300,5,5000000,hs,No,100,TR9856,1740,1,41,41,207,208,3173,0.120976273674838,150,0.5539692515053999,102,0.5539984472848357,179,0.06895578165361796,9425,0.07531412835009596
76,w2v,CBOW,2020-05-06 03:32:57.000216,300,5,5000000,hs,No,100,WS353,3,1,83,83,319,320,5137,0.1450777202072539,33,0.6227440895203944,24,0.5867669772883566,26,0.4704717992814167,120,0.4362602242190506
77,w2v,CBOW,2020-05-06 03:42:52.567786,300,10,5000000,hs,No,100,MEN,28,1,29,29,137,138,6911,0.1578774596487923,386,0.3497945275880241,311,0.502870002524614,356,0.35871378391367476,1947,0.35115169201832974
78,w2v,CBOW,2020-05-06 03:42:53.788503,300,10,5000000,hs,No,100,MTurk,76,1,47,47,172,177,3152,0.06298400426336258,18,0.23035099205784568,23,0.3712442100083402,31,0.35390986888330267,215,0.3388544518601908
79,w2v,CBOW,2020-05-06 03:42:55.008392,300,10,5000000,hs,No,100,RG65,1,1,10,11,92,93,747,0.8999999999999998,5,-0.19047619047619052,8,0.28571428571428575,7,0.3312028509997779,45,0.293148290924605
80,w2v,CBOW,2020-05-06 03:42:56.337219,300,10,5000000,hs,No,100,RW,852,1,7,7,64,64,4471,0.22584971353172315,99,0.15821762259478098,121,0.35867022955877614,92,0.08191355478240005,1722,0.10615278914114852
81,w2v,CBOW,2020-05-06 03:42:57.587441,300,10,5000000,hs,No,100,SimLex-999,6,1,41,41,162,164,3980,-0.043173522522286574,102,0.19946531268915219,101,0.14816539131932877,179,0.18017494279737142,617,0.13232103569225384
82,w2v,CBOW,2020-05-06 03:42:59.263058,300,10,5000000,hs,No,100,TR9856,1740,1,41,41,207,208,3173,0.06654325055822512,150,0.5610560961223771,102,0.4981663848214574,179,0.07932109535265158,9425,0.08734268267527617
83,w2v,CBOW,2020-05-06 03:43:00.434696,300,10,5000000,hs,No,100,WS353,3,1,83,83,319,320,5137,0.3660371051312051,33,0.6866710316708817,24,0.679432391533779,26,0.4431487496589968,120,0.47187683160049965
84,w2v,CBOW,2020-05-06 03:56:03.585712,100,2,10000000,hs,No,100,MEN,9,1,55,56,273,275,15615,0.3167304795499701,445,0.5582310884711373,294,0.6705598558978926,379,0.5523896193611099,1882,0.530903330534815
85,w2v,CBOW,2020-05-06 03:56:05.789317,100,2,10000000,hs,No,100,MTurk,67,1,95,95,337,350,6396,0.23716704161944657,21,0.3078432978635587,21,0.6799704567038276,29,0.49386634271707824,216,0.506184091821109
86,w2v,CBOW,2020-05-06 03:56:08.009851,100,2,10000000,hs,No,100,RG65,0,2,20,21,183,199,1644,-0.21428571428571433,7,0.5,7,0.08571428571428573,6,0.512271461405047,45,0.41629968183324023
87,w2v,CBOW,2020-05-06 03:56:10.351982,100,2,10000000,hs,No,100,RW,630,1,9,9,102,102,9062,0.11756317230371427,99,0.37946908618671493,137,0.48619524485728927,128,0.17086595636388044,1670,0.19485425586520105
88,w2v,CBOW,2020-05-06 03:56:12.602911,100,2,10000000,hs,No,100,SimLex-999,3,1,83,84,329,330,7843,-0.06984869848868995,98,0.1803558717417336,90,0.15034143025661395,180,0.22040406670105092,631,0.16510510913045912
89,w2v,CBOW,2020-05-06 03:56:15.215376,100,2,10000000,hs,No,100,TR9856,1724,1,81,81,394,398,6423,0.3339261366403767,153,0.4180866839386616,121,0.5999445183808533,179,0.06977249137786323,9403,0.0764574993166884
90,w2v,CBOW,2020-05-06 03:56:17.559303,100,2,10000000,hs,No,100,WS353,0,2,169,170,611,625,8220,0.02674243727809938,33,0.8307388442392832,23,0.797130218415562,27,0.6156691098145748,120,0.5516571343586265
91,w2v,CBOW,2020-05-06 04:08:14.886143,100,5,10000000,hs,No,100,MEN,9,1,55,56,273,275,15615,0.2795751407148446,445,0.5917166014749269,294,0.6637477166363982,379,0.5397026927376698,1882,0.5200461434260998
92,w2v,CBOW,2020-05-06 04:08:17.199622,100,5,10000000,hs,No,100,MTurk,67,1,95,95,337,350,6396,0.1812865879776044,21,0.3891972349310953,21,0.6575511409212014,29,0.4914556379382633,216,0.5075475036456079
93,w2v,CBOW,2020-05-06 04:08:19.544850,100,5,10000000,hs,No,100,RG65,0,2,20,21,183,199,1644,-0.7857142857142859,7,-0.25,7,0.14285714285714288,6,0.4153516775173526,45,0.29801881885122133
94,w2v,CBOW,2020-05-06 04:08:21.843044,100,5,10000000,hs,No,100,RW,630,1,9,9,102,102,9062,0.09425819209169978,99,0.41070234867271904,137,0.52027721219112,128,0.16514519808824313,1670,0.19628132384299857
95,w2v,CBOW,2020-05-06 04:08:24.094344,100,5,10000000,hs,No,100,SimLex-999,3,1,83,84,329,330,7843,-0.04412805497400485,98,0.1644762571272006,90,0.13758654080805865,180,0.22917510911431427,631,0.16827336133845405
96,w2v,CBOW,2020-05-06 04:08:26.882442,100,5,10000000,hs,No,100,TR9856,1724,1,81,81,394,398,6423,0.33533178067417757,153,0.49782987661394995,121,0.522572689517228,179,0.07152238958500681,9403,0.07949645054606376
97,w2v,CBOW,2020-05-06 04:08:29.117566,100,5,10000000,hs,No,100,WS353,0,2,169,170,611,625,8220,0.3200735461722519,33,0.7921917711573891,23,0.7717905753177099,27,0.578035606647088,120,0.5761501243883939
98,w2v,CBOW,2020-05-06 04:21:04.336304,100,10,10000000,hs,No,100,MEN,9,1,55,56,273,275,15615,0.24660926316456538,445,0.6053155515158696,294,0.6572611778287445,379,0.5300965316244746,1882,0.5113537860176071
99,w2v,CBOW,2020-05-06 04:21:06.571602,100,10,10000000,hs,No,100,MTurk,67,1,95,95,337,350,6396,0.1267056797692934,21,0.3735772790141283,21,0.6545947476311846,29,0.47384165195925837,216,0.48455227241383286
100,w2v,CBOW,2020-05-06 04:21:08.808207,100,10,10000000,hs,No,100,RG65,0,2,20,21,183,199,1644,-0.4642857142857144,7,-0.14285714285714288,7,0.14285714285714288,6,0.42879262647254607,45,0.32772016637386797
101,w2v,CBOW,2020-05-06 04:21:11.200644,100,10,10000000,hs,No,100,RW,630,1,9,9,102,102,9062,0.12097964592299514,99,0.3276703668504778,137,0.5072693519359278,128,0.14464409957507487,1670,0.1806297151688332
102,w2v,CBOW,2020-05-06 04:21:13.603389,100,10,10000000,hs,No,100,SimLex-999,3,1,83,84,329,330,7843,-0.032702325380966756,98,0.21360510109792794,90,0.14110527291373418,180,0.22457377864911734,631,0.17026949915916043
103,w2v,CBOW,2020-05-06 04:21:16.464359,100,10,10000000,hs,No,100,TR9856,1724,1,81,81,394,398,6423,0.3563893305532776,153,0.5921078172714159,121,0.5254517080940347,179,0.08141805274813371,9403,0.09355339387248074
104,w2v,CBOW,2020-05-06 04:21:19.441975,100,10,10000000,hs,No,100,WS353,0,2,169,170,611,625,8220,0.35233161113895933,33,0.7931801576466685,23,0.6322698898271271,27,0.5825709351639042,120,0.5573171977412046
